,id,Name,Year,Rating,tags
98,98,Rio Bravo,1959,8,"howard hawk john wayn dean martin ricki nelson angi dickinson drama, western a small-town sheriff in the american west enlist the help of a disabl man, a drunk, and a young gunfight in hi effort to hold in jail the brother of the local bad guy."
99,99,Top Hat,1935,7.7,"mark sandrich fred astair ginger roger edward everett horton erik rhode comedy, musical, romanc an american dancer come to britain and fall for a model whom he initi annoyed, but she mistak him for hi goofi producer."
100,100,The Magnificent Ambersons,1942,7.6,"orson well fred fleck robert wise tim holt joseph cotten dolor costello ann baxter drama, romanc the spoil young heir to the decay amberson fortun come between hi widow mother and the man she ha alway loved."
101,101,The Hustler,1961,8,"robert rossen paul newman jacki gleason piper lauri georg c. scott drama, sport an up-and-com pool player play a long-tim champion in a singl high-stak match."
102,102,Beauty and the Beast,1946,7.9,"jean cocteau rené clément jean marai josett day mila paréli nane germon drama, fantasy, romanc a beauti young woman take her father' place as the prison of a mysteri beast, who wish to marri her."
103,103,Rififi,1955,8.1,"jule dassin jean servai carl möhner robert manuel janin darcey crime, drama, thriller four men plan a technic perfect crime, but the human element intervenes..."
104,104,The Wild Bunch,1969,7.9,"sam peckinpah william holden ernest borgnin robert ryan edmond o'brien action, adventure, drama an age group of outlaw look for one last big score as the ""traditional"" american west is disappear around them."
105,105,The Thin Man,1934,7.9,"w.s. van dyke william powel myrna loy maureen o'sullivan nat pendleton comedy, crime, mysteri former detect nick charl and hi wealthi wife nora investig a murder case, mostli for the fun of it."
106,106,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",1975,7.5,"chantal akerman delphin seyrig jan decort henri storck jacqu doniol-valcroz drama a lone widow housewif doe her daili chores, take care of her apart where she live with her teenag son, and turn the occasion trick to make end meet. however, someth happen that chang her safe routine."
107,107,Anatomy of a Murder,1959,8,"otto preming jame stewart lee remick ben gazzara arthur o'connel drama, mysteri an upstat michigan lawyer defend a soldier who claim he kill an innkeep due to temporari insan after the victim rape hi wife. what is the truth, and will he win hi case?"
108,108,Pépé le Moko,1937,7.7,"julien duvivi jean gabin gabriel gabrio saturnin fabr fernand charpin crime, drama, romanc a want gangster is both king and prison of the casbah. he is protect from arrest by hi friends, but is torn by hi desir for freedom outside. a visit parisian beauti may just tempt hi fate."
109,109,The 400 Blows,1959,8.1,"françoi truffaut jean-pierr léaud albert rémi clair maurier guy decombl crime, drama a young boy, left without attention, delv into a life of petti crime."
110,110,The Red Shoes,1948,8.1,"michael powel emer pressburg anton walbrook mariu gore moira shearer robert helpmann drama, music, romanc a young ballet dancer is torn between the man she love and her pursuit to becom a prima ballerina."
111,111,The Wages of Fear,1953,8.2,"henri-georg clouzot yve montand charl vanel peter van eyck folco lulli adventure, drama, thriller in a decrepit south american village, four men are hire to transport an urgent nitroglycerin shipment without the equip that would make it safe."
112,112,Schindler's List,1993,9,"steven spielberg liam neeson ralph fienn ben kingsley carolin goodal biography, drama, histori in german-occupi poland dure world war ii, industrialist <a href=""/name/nm0771861"">oskar schindler</a> gradual becom concern for hi jewish workforc after wit their persecut by the nazis."
113,113,The Grand Illusion,1937,8.1,"jean renoir jean gabin dita parlo pierr fresnay erich von stroheim drama, war dure wwi, two french soldier are captur and imprison in a german p.o.w. camp. sever escap attempt follow until they are eventu sent to a seemingli inescap fortress."
114,114,Snow White and the Seven Dwarfs,1937,7.6,"william cottrel david hand wilfr jackson larri morey perc pearc ben sharpsteen adriana caselotti harri stockwel lucil la vern roy atwel animation, adventure, famili exil into the danger forest by her wick stepmother, a princess is rescu by seven dwarf miner who make her part of their household."
115,115,Shadow of a Doubt,1943,7.8,"alfr hitchcock teresa wright joseph cotten macdonald carey henri traver film-noir, thriller a teenag girl, overjoy when her favorit uncl come to visit the famili in their quiet california town, slowli begin to suspect that he is in fact the ""merri widow"" killer sought by the authorities."
116,116,Nashville,1975,7.6,"robert altman keith carradin karen black rone blakley shelley duval comedy, drama, music over the cours of a few hectic days, numer interrel peopl prepar for a polit convention."
117,117,The Awful Truth,1937,7.7,"leo mccarey iren dunn cari grant ralph bellami alexand d'arci comedy, romanc a marri coupl file an amic divorce, but find it harder to let go of each other than they initi thought."
118,118,Goodfellas,1990,8.7,"martin scorses robert de niro ray liotta joe pesci lorrain bracco biography, crime, drama the stori of <a href=""/name/nm1453737"">henri hill</a> and hi life in the mafia, cover hi relationship with hi wife karen and hi mob partner jimmi conway and tommi devito."
119,119,The Conformist,1970,7.9,"bernardo bertolucci jean-loui trintign stefania sandrelli gaston moschin enzo tarascio drama a weak-wil italian man becom a fascist flunki who goe abroad to arrang the assassin of hi old teacher, now a polit dissident."
120,120,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"irvin kershner mark hamil harrison ford carri fisher billi dee william action, adventure, fantasi after the rebel are overpow by the empire, luke skywalk begin hi jedi train with yoda, while hi friend are pursu across the galaxi by darth vader and bounti hunter boba fett."
121,121,To Kill a Mockingbird,1962,8.3,"robert mulligan gregori peck john megna frank overton rosemari murphi crime, drama atticu finch, a widow lawyer in depression-era alabama, defend a black man against an undeserv rape charge, and tri to educ hi young children against prejudice."
122,122,Red River,1948,7.8,"howard hawk arthur rosson john wayn montgomeri clift joann dru walter brennan drama, western dunson lead a cattl drive, the culmin of over 14 year of work, to it destin in missouri. but hi tyrann behavior along the way caus a mutiny, led by hi adopt son."
123,123,Raging Bull,1980,8.1,"martin scorses robert de niro cathi moriarti joe pesci frank vincent biography, drama, sport the life of boxer <a href=""/name/nm0483766"">jak lamotta</a>, whose violenc and temper that led him to the top in the ring destroy hi life outsid of it."
124,124,An Autumn Afternoon,1962,8,yasujirô ozu chishû ryû shima iwashita keiji sada mariko okada drama an age widow arrang a marriag for hi onli daughter.
125,125,Andrei Rublev,1966,8.1,"andrei tarkovski anatoliy solonitsyn ivan lapikov nikolay grinko nikolay sergeev biography, drama, histori the life, time and afflict of the fifteenth-centuri russian iconograph st. andrei rublev."
126,126,West Side Story,1961,7.6,"jerom robbin robert wise natali wood georg chakiri richard beymer russ tamblyn crime, drama, music two youngster from rival new york citi gang fall in love, but tension between their respect friend build toward tragedy."
127,127,Z,1969,8.2,"costa-gavra yve montand iren papa jean-loui trintign françoi périer crime, drama, thriller the public murder of a promin politician and doctor amid a violent demonstr is cover up by militari and govern officials. a tenaci magistr is determin not to let them get away with it."
128,128,The Gold Rush,1925,8.1,"charl chaplin charl chaplin mack swain tom murray henri bergman adventure, comedy, drama a prospector goe to the klondik dure the 1890 gold rush in hope of make hi fortune, and is smitten with a girl he see in a danc hall."
129,129,The Human Condition III: A Soldier's Prayer,1961,8.8,"masaki kobayashi tatsuya nakadai michiyo aratama tamao nakamura yûsuke kawazu drama, history, war hi ideal challeng by life as a conscript in war-tim japan' military, a pacifist face ever greater test in hi fight for survival."
